IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
123.111.169.70,443,443,true,,,,55,3.11
202.144.194.170,443,443,true,,,,111,2.04
45.129.8.3,443,443,true,,,,102,1.49
104.17.129.200,2053,2053,true,,,,150,0.96
108.162.198.203,443,443,true,,,,148,0.95
108.162.198.97,443,443,true,,,,150,0.91
104.17.140.115,2087,2087,true,,,,149,0.91
172.67.71.217,2083,2083,true,,,,129,0.80
104.20.20.217,2096,2096,true,,,,139,0.80
104.20.16.76,2096,2096,true,,,,132,0.77
172.67.75.79,2053,2053,true,,,,145,0.69
150.230.212.247,443,443,true,,,,126,0.67
45.76.208.253,443,443,true,,,,133,0.65
161.33.197.118,443,443,true,,,,124,0.55
153.121.45.101,443,443,true,,,,118,0.54
141.147.174.243,443,443,true,,,,125,0.52
18.183.224.152,443,443,true,,,,99,0.34
126.220.82.161,443,443,true,,,,139,0.16
54.95.94.250,443,443,true,,,,131,0.00
8.216.83.162,443,443,true,,,,119,0.00
23.106.143.183,443,443,true,,,,107,0.00
154.36.156.139,443,443,true,,,,123,0.00
141.147.176.31,443,443,true,,,,137,0.00
74.222.29.85,443,443,true,,,,138,0.00
52.141.39.15,443,443,true,,,,129,0.00
8.209.197.83,443,443,true,,,,83,0.00
20.189.241.37,443,443,true,,,,146,0.00
167.88.185.67,443,443,true,,,,135,0.00
45.76.198.38,443,443,true,,,,129,0.00
20.200.211.91,443,443,true,,,,100,0.00
